full_name;age;birthday_GMT;league;season;position;Current Club;minutes_played_overall;minutes_played_home;minutes_played_away;nationality;appearances_overall;goals_overall;assists_overall;penalty_goals;penalty_misses;yellow_cards_overall;red_cards_overall;assists_per_90_overall;passes_per_90_overall;shots_total_overall;blocks_total_overall
Damii Alberto Martinez;33;miercoles, 31 de enero de 1990;Primera Division;2023;Defender;Rosario Central;2109;1116;993;Argentina;25;2;0;0;0;11;1;0;25.05;15;6
Damii Alberto Perez;34;jueves, 22 de diciembre de 1988;Primera Division;2023;Defender;Independiente;597;260;337;Argentina;9;0;0;0;0;5;1;0;32.90;2;4
Damii Ariel Fernidez;22;martes, 02 de enero de 2001;Primera Division;2023;Defender;Velez Sarsfield;548;337;211;Argentina;9;0;0;0;0;2;0;0;41.72;4;2
Damii Batallini;27;lunes, 24 de junio de 1996;Primera Division;2023;Midfielder;Colon;241;90;151;Argentina;3;0;1;0;0;1;0;0.37;33.24;3;0
Damii Puebla;20;domingo, 15 de septiembre de 2002;Primera Division;2023;Forward;Instituto;4;0;4;Argentina;1;0;0;0;0;0;0;0;0.00;0;0
Daniel Barrea;22;domingo, 22 de julio de 2001;Primera Division;2023;Forward;Belgrano;211;121;90;Argentina;9;0;0;0;0;0;0;0;18.77;3;0
Daniel Eduardo Juarez;22;lunes, 30 de julio de 2001;Primera Division;2023;Midfielder;Union Santa Fe;678;323;355;Argentina;19;0;1;0;0;0;0;0.13;22.43;12;1
Daniel Lucero;21;miercoles, 17 de abril de 2002;Primera Division;2023;Forward;Arsenal de Sarandi;277;174;103;Argentina;8;0;1;0;0;3;0;0.32;0.00;0;0
Daniel Ribera Bruun;18;viernes, 18 de febrero de 2005;Primera Division;2023;Forward;Talleres Cordoba;0;0;0;Bolivia;0;0;0;0;0;0;0;0;0;0;0
Daniel Sappa;28;jueves, 09 de febrero de 1995;Primera Division;2023;Goalkeeper;Estudiantes;180;0;180;Argentina;2;0;0;0;0;0;0;0;19.00;0;0
Dante Nicola Campisi;26;martes, 29 de octubre de 1996;Primera Division;2023;Goalkeeper;Union Santa Fe;180;0;180;Argentina;2;0;0;0;0;0;0;0;30.50;0;0
Dardo Federico Miloc;32;martes, 16 de octubre de 1990;Primera Division;2023;Midfielder;Central Cordoba SdE;180;90;90;Argentina;2;0;0;0;0;0;0;0;48.00;0;0
Dario Benedetto;33;jueves, 17 de mayo de 1990;Primera Division;2023;Forward;Boca Juniors;1048;476;572;Argentina;18;3;2;0;1;2;0;0.17;16.92;19;0
