id_jugador;full_name;name;last_name;age;birthday_GMT;position_campo;current_club;nationality
152;Cristian Franco Lema;Cristian;Franco Lema;33;NULL;Defender;Lanus;Argentina
153;Cristian Gonzalo Torres;Cristian;Gonzalo Torres;23;NULL;Forward;Central Cordoba SdE;Argentina
154;Cristian Matias Menendez;Cristian;Matias Menendez;35;NULL;Forward;Atletico Tucuman;Argentina
155;Cristian Medina;Cristian;Medina;21;NULL;Midfielder;Boca Juniors;Argentina
156;Cristian Nahuel Barrios;Cristian;Nahuel Barrios;25;NULL;Midfielder;San Lorenzo;Argentina
157;Cristian Orlando Vega;Cristian;Orlando Vega;29;NULL;Midfielder;Colon;Argentina
158;Damii Alberto Martinez;Damii;Alberto Martinez;33;NULL;Defender;Rosario Central;Argentina
159;Damii Alberto Perez;Damii;Alberto Perez;34;NULL;Defender;Independiente;Argentina
160;Damii Ariel Fernidez;Damii;Ariel Fernidez;22;NULL;Defender;Velez Sarsfield;Argentina
161;Damii Batallini;Damii;Batallini;27;NULL;Midfielder;Colon;Argentina
162;Damii Puebla;Damii;Puebla;20;NULL;Forward;Instituto;Argentina
163;Daniel Barrea;Daniel;Barrea;22;NULL;Forward;Belgrano;Argentina
164;Daniel Eduardo Juarez;Daniel;Eduardo Juarez;22;NULL;Midfielder;Union Santa Fe;Argentina
165;Daniel Lucero;Daniel;Lucero;21;NULL;Forward;Arsenal de Sarandi;Argentina
166;Daniel Ribera Bruun;Daniel;Ribera Bruun;18;NULL;Forward;Talleres Cordoba;Bolivia
167;Daniel Sappa;Daniel;Sappa;28;NULL;Goalkeeper;Estudiantes;Argentina
168;Dante Nicola Campisi;Dante;Nicola Campisi;26;NULL;Goalkeeper;Union Santa Fe;Argentina
169;Dardo Federico Miloc;Dardo;Federico Miloc;32;NULL;Midfielder;Central Cordoba SdE;Argentina
170;Dario Benedetto;Dario;Benedetto;33;NULL;Forward;Boca Juniors;Argentina
171;Dario Jorge Caceres Ovelar;Dario;Jorge Caceres Ovelar;25;NULL;Defender;Defensa y Justicia;Argentina
172;David Gallardo;David;Gallardo;26;NULL;Midfielder;Sarmiento;Argentina
173;David Gonzalez;David;Gonzalez;20;NULL;Midfielder;Racing Club;Argentina
174;David Matias Barbona;David;Matias Barbona;28;NULL;Midfielder;Defensa y Justicia;Argentina
175;David Sotelo;David;Sotelo;20;NULL;Midfielder;Newell's Old Boys;Argentina
176;David Zalazar;David;Zalazar;21;NULL;Midfielder;Barracas Central;Argentina
177;Deian Veron;Deian;Veron;22;NULL;Midfielder;Estudiantes;Argentina
178;Diego Agustin Gutierrez;Diego;Agustin Gutierrez;20;NULL;Midfielder;Union Santa Fe;Argentina
179;Diego Alexandre Segovia Hernandez;Diego;Alexandre Segovia Hernandez;23;NULL;Goalkeeper;Independiente;Uruguay
180;Diego Barrera;Diego;Barrera;19;NULL;Midfielder;Talleres Cordoba;Argentina
181;Diego Ezequiel Calcaterra;Diego;Ezequiel Calcaterra;22;NULL;Midfielder;Sarmiento;Argentina
